ID;Modell;Quelle;Herkunft;Reales_Vorbild;Zielgruppe;Erloesmodell;Preisanker;Hauptproblem_des_Kunden;Bruttomarge_S;Delegierbarkeit;Regulatorik;KO_Status;Begruendung_Status
L34;Kfz-Werkstatt- und Autohaus-SaaS;A01-M21;DE;diverse;freie Werkstaetten Autohaeuser;SaaS je Arbeitsplatz;offen;Prozesschaos;70-85%;hoch;gruen;AUSGESCHLOSSEN;ARPU 5-50 EUR Kriterium 5
L35;Gefahrstoff- und Unterweisungsmanagement als SaaS;A01-M22/A10-M15;DE;diverse;Betriebe mit Gefahrstoffen;SaaS + Schulungsmodule;nicht oeffentlich;GefStoffV Kataster und Unterweisungspflicht;75-85%;hoch;gelb;LONGLIST;Preisintransparenz positiv Anhaengsel-Produkt zu L01
L36;CAFM-/Facility-Management-Software;A01-M23;DE;Planon Maqsima Cloudbrixx loyhutz TOL;Betreiber und FM-Dienstleister;SaaS Enterprise;nicht oeffentlich;Betreiberverantwortung dokumentieren;70-85%;hoch;gruen;AUSGESCHLOSSEN;Markt besetzt Enterprise-Vertrieb Anzug-Business
L37;After-Sales-/Ersatzteilportal fuer Maschinenbauer;A01-M24;DE;diverse;Maschinenbauer mit installierter Basis;Lizenz + Umsatzbeteiligung;50.000-150.000 EUR/Jahr [S];margenstaerkste Umsatzlinie schlecht digitalisiert;70-85%;hoch;gruen;LONGLIST;9-18 Monate Vertriebszyklus Zielbild nicht Startpunkt
L38;Fuhrparkmanagement- und Telematik-SaaS;A01-M25/A02-M17;DE;diverse;Fuhrparkbetreiber;SaaS je Fahrzeug;ab 4,90 EUR/Fahrzeug [F];Kostenkontrolle;70-85%;hoch;gelb;AUSGESCHLOSSEN;ARPU zu niedrig Dashcam-Innenraum rechtlich blockiert
L39;Werkzeugflotte als Service herstellerneutral;A01-M27/A10-M16;LI/DE;Hilti ON!Track (herstellergebunden);Handwerks- und Baubetriebe;Monatliche Flottenmiete;Hilti 1,5 Mio Werkzeuge >1,2 Mrd CHF [F];Werkzeug weg Pruefpflicht unklar;50-70%;mittel;gelb;LONGLIST;kapitalintensiv neutraler Anbieter fehlt aber
L40;Equipment-as-a-Service Baumaschinen;A01-M28/A02-M21;DE/SE;diverse;Bauunternehmen;Miete/Pay-per-Use;offen;Kapitalbindung;45-65%;mittel;gruen;AUSGESCHLOSSEN;KO-5 Marge zu niedrig Kapitalintensitaet
L41;Managed IT Workplace fuer den Mittelstand;A01-M29/A02-M14;DE/US;diverse MSPs;Mittelstand 20-200 Arbeitsplaetze;Monatspauschale je Arbeitsplatz;offen;IT-Personal fehlt;45-60%;mittel;gelb;AUSGESCHLOSSEN;Bruttomarge unter Ziel Helpdesk ab Tag 1
L42;Managed Print Services;A01-M30/A02-M15;DE;diverse;Bueros;Klickpreis + Miete;offen;Druckkosten intransparent;35-55%;mittel;gruen;AUSGESCHLOSSEN;schrumpfender Markt Konzernabhaengigkeit
L43;Textilservice / Berufskleidung im Mietabo;A01-M31/A02-M30;DE/US;MEWA CWS Cintas;Betriebe mit Berufskleidung;Wochenpauschale je Traeger;Cintas Bruttomarge 51% [F-sek];Waesche und Ersatz organisieren;40-51%;mittel;gruen;AUSGESCHLOSSEN;KO-5 Marge zu niedrig Markt besetzt
L44;Externer Datenschutzbeauftragter im Abo;A01-M32/A10-M14;DE;diverse;KMU mit DSB-Pflicht;Monatsabo;ab 79 EUR/Monat [F];DSB-Bestellpflicht;70-85%;mittel;gelb;AUSGESCHLOSSEN;KO-10 Kern ist Nicos Anti-Liste
L45;EPR-/Verpackungs-Compliance als Bevollmaechtigter;A01-M33;DE;diverse;Onlinehaendler Hersteller;Jahresgebuehr;offen;VerpackG LUCID-Pflicht;70-85%;hoch;gelb;LONGLIST;Bevollmaechtigten-Rolle rechtlich pruefen
L46;KI-Automatisierung fuer KMU als Retainer;A01-M36;DE;diverse Agenturen;KMU;Monatsretainer;offen;Prozesse manuell;60-75%;niedrig;gruen;AUSGESCHLOSSEN;KO-17 Projektgeschaeft ohne Standardisierung
L47;Recruiting-as-a-Service fuer Handwerk und Technik;A01-M37;DE;diverse;Handwerks- und Technikbetriebe;Monatsabo + Erfolg;offen;Fachkraeftemangel;60-75%;mittel;gruen;LONGLIST;stark abhaengig von Kandidatenmarkt kein Pflichtkauf
L48;Ladeinfrastruktur-Backend und Abrechnung (CPO-as-a-Service);A01-M39/Orchestrator;DE;reev chargecloud has-to-be/Elli;Wohnungswirtschaft Arbeitgeber mit Flotte;Monatsgebuehr je Ladepunkt;nicht ermittelt;ab 01.01.2026 keine Pauschalen mehr fuer Dienstwagen-Heimladung [F];65-80%;hoch;gelb;LONGLIST;Eichrecht/MsbG als KO pruefen Stichtag erzeugt Nachfrage
L49;Kassensystem mit TSE-Fiskalisierung;A01-M40;DE;diverse;Gastronomie Handel;Miete + Transaktion;offen;Paragraf 146a AO;50-70%;hoch;rot;AUSGESCHLOSSEN;Payment BaFin-reguliert Markt wird aufgerollt
L50;Kalibrier- und Pruefmittelmanagement;A01-M41;DE;diverse;Produktion Labor;Kalibrierabo + Verwaltung;offen;ISO 9001 Pruefmittelueberwachung;55-70%;mittel;gelb;LONGLIST;Kalibrierlabor akkreditierungspflichtig Verwaltung frei
L51;Voice-AI fuer Autohaus-Serviceannahme;A02-M2;US;Numa;Autohaeuser Servicecenter;pay-per-booked-appointment;149 USD/User bzw 200-400 USD/Standort [F-sek];Serviceannahme telefonisch ueberlastet;60-80%;hoch;gelb;LONGLIST;Pay-per-Outcome als Mechanik uebernehmen
L52;Voice-AI fuer Restaurants;A02-M3;US;Slang.ai;Restaurants;399-599 USD je Standort [F];Reservierungsannahme;60-80%;hoch;gruen;AUSGESCHLOSSEN;enge Vertikale niedriger deutscher Preispunkt
L53;Job-Volumen-Pricing statt Seat-Pricing;A02-M6;AU/NZ;ServiceM8 (29-349 AUD nach Auftragszahl);Handwerk;Volumenpreis;29-349 AUD [F-sek];Seat-Preis blockiert Kauf;n/a;n/a;gruen;MECHANIK;keine eigene Maschine sondern Preismechanik
L54;Cross-Connection-/Rueckflussverhinderer-Compliance;A02-M9;US;SwiftComply;Wasserversorger Kommunen;SaaS + Eskalation;offen;Versorger muss saeumige Eigentuemer verfolgen;70-85%;hoch;gelb;LONGLIST;DE-Aequivalent DVGW pruefen
L55;EHS-/Gefahrstoff-Compliance-SaaS;A02-M11;SE/NO;diverse;Industrie;SaaS;offen;Gefahrstoffrecht;70-85%;hoch;gelb;LONGLIST;ueberschneidet mit L35
L56;Mobile Inspektions-/Checklisten-Plattform horizontal;A02-M12;AU;SafetyCulture;alle Branchen;SaaS je Nutzer;offen;Papier-Checklisten;75-85%;hoch;gruen;AUSGESCHLOSSEN;horizontal Marktfuehrer etabliert
L57;Lone-Worker-Schutz und Gasdetektion Hardware+Abo;A02-M16;CA;Blackline Safety;Industrie Versorger;Geraete-Abo;EBITDA-Marge nur 4,1% [S aus F];Alleinarbeiterschutz;40-55%;mittel;gelb;AUSGESCHLOSSEN;Hardware-Eigenentwicklung zerstoert Marge
L58;Remote Live-Guarding Videowache mit Eingriff;A02-M18;US;diverse;Gewerbeobjekte Baustellen;Monatsgebuehr je Kamera;offen;Wachdienst zu teuer;60-75%;hoch;rot;LONGLIST;Paragraf 34a GewO pruefen
L59;Robot-as-a-Service Reinigung;A02-M20;US;diverse;Gebaeudereiniger;Robotermiete;offen;Personalmangel Reinigung;50-65%;mittel;gruen;LONGLIST;kapitalintensiv Marge unter Ziel
L60;Autonome HVAC-Optimierung als SaaS;A02-M23;CA;BrainBox AI;Gebaeudebetreiber;Monatsgebuehr unter der Einsparung;netto-positiv [F-sek];Energiekosten;70-85%;hoch;gruen;LONGLIST;netto-positive Preisgestaltung als Mechanik wertvoll
L61;Wasserschaden-Praevention Hardware+SaaS;A02-M26;IL;WINT;Gebaeudebetreiber Versicherer;Abo je Objekt;offen;Wasserschaeden sind teuerster Gebaeudeschaden;65-80%;hoch;gruen;LONGLIST;Versichererkanal ist Anzug-Business
L62;Speech Analytics fuer den Aussendienst;A02-M35;US;Rilla (51 Mio USD ARR 2.000 Kunden NRR>115%);Vertriebsorganisationen im Handwerk;199-349 USD/Rep/Monat [F-sek];Abschlussquote unbekannt;75-85%;hoch;rot;LONGLIST;Paragraf 201 StGB Gespraechsaufzeichnung ohne Einwilligung strafbar
